anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2022,1,1,0.0,4.5,5.6,6.5,100.0,100.0,100.0,5.0,19.0,301.0,2333.0,1025.7
2022,1,2,0.0,4.3,6.7,9.0,83.0,95.0,100.0,6.0,19.0,144.0,1525.0,1024.8
2022,1,3,0.7,7.1,8.4,9.3,83.0,95.0,100.0,6.0,17.0,208.0,381.0,1020.1
2022,1,4,0.6,7.7,8.4,9.7,87.0,97.0,99.0,4.0,15.0,326.0,527.0,1011.7
2022,1,5,8.1,4.6,12.1,15.3,61.0,80.0,100.0,26.0,109.0,81.0,507.0,1002.1
2022,1,6,0.4,5.2,7.5,9.3,44.0,62.0,100.0,44.0,91.0,79.0,4131.0,1012.7
2022,1,7,0.0,2.0,4.7,6.5,39.0,48.0,63.0,37.0,71.0,61.0,7964.0,1018.7
2022,1,8,0.0,1.8,4.5,8.5,39.0,41.0,63.0,19.0,50.0,73.0,7658.0,1013.6
2022,1,9,0.1,3.8,5.7,7.8,39.0,53.0,70.0,9.0,44.0,77.0,1558.0,1005.3
2022,1,10,0.0,6.1,7.7,9.9,37.0,52.0,64.0,22.0,44.0,80.0,6554.0,1011.3
2022,1,11,0.0,3.1,6.2,8.1,36.0,49.0,60.0,35.0,81.0,72.0,7880.0,1023.2
2022,1,12,0.0,3.8,5.4,7.8,26.0,40.0,52.0,33.0,106.0,53.0,8504.0,1031.1
2022,1,13,0.0,3.6,6.7,9.3,30.0,42.0,62.0,24.0,62.0,77.0,7526.0,1036.1
2022,1,14,0.0,4.1,6.5,10.0,49.0,66.0,80.0,4.0,10.0,56.0,7917.0,1030.0
2022,1,15,0.0,4.4,8.9,14.0,38.0,63.0,84.0,7.0,35.0,104.0,8018.0,1024.7
2022,1,16,0.0,6.2,8.3,10.6,52.0,73.0,91.0,4.0,13.0,324.0,7703.0,1023.7
2022,1,17,0.0,4.9,7.2,9.2,77.0,86.0,92.0,4.0,14.0,310.0,7221.0,1025.2
2022,1,18,0.0,5.0,8.7,13.6,31.0,65.0,91.0,8.0,28.0,69.0,8427.0,1032.3
2022,1,19,0.0,5.1,7.1,9.7,60.0,73.0,93.0,5.0,21.0,279.0,7110.0,1029.8
2022,1,20,2.1,4.6,6.8,8.0,78.0,86.0,93.0,6.0,17.0,317.0,2069.0,1020.3
2022,1,21,0.1,4.0,6.3,8.8,23.0,51.0,91.0,20.0,61.0,74.0,9024.0,1023.5
2022,1,22,0.0,4.1,5.6,8.4,43.0,68.0,88.0,6.0,22.0,253.0,8216.0,1026.2
2022,1,23,0.0,3.7,6.5,9.6,65.0,73.0,81.0,6.0,17.0,75.0,7739.0,1030.0
2022,1,24,0.0,4.6,6.5,8.3,51.0,58.0,76.0,21.0,52.0,74.0,4682.0,1032.6
2022,1,25,0.0,2.9,5.6,8.9,49.0,67.0,82.0,5.0,20.0,112.0,8499.0,1032.7
2022,1,26,0.0,3.3,5.5,7.9,55.0,73.0,84.0,6.0,22.0,79.0,8913.0,1028.2
2022,1,27,0.0,3.3,5.5,6.9,72.0,79.0,84.0,5.0,15.0,330.0,3630.0,1026.3
2022,1,28,0.0,5.5,6.9,9.2,32.0,75.0,85.0,7.0,22.0,67.0,8475.0,1026.0
2022,1,29,0.0,4.9,7.5,10.4,30.0,53.0,71.0,7.0,30.0,305.0,8097.0,1028.6
2022,1,30,0.0,4.6,7.3,10.5,50.0,70.0,85.0,6.0,17.0,329.0,9409.0,1019.2
2022,1,31,0.0,4.8,7.8,10.4,53.0,73.0,85.0,8.0,30.0,86.0,1861.0,1009.3
2022,2,1,0.0,4.1,7.4,12.0,29.0,64.0,77.0,6.0,31.0,153.0,10078.0,1011.6
2022,2,2,0.0,4.4,7.6,10.4,39.0,66.0,76.0,6.0,29.0,200.0,8784.0,1012.5
2022,2,3,0.0,5.5,8.6,11.1,39.0,65.0,76.0,7.0,19.0,303.0,9683.0,1022.4
2022,2,4,0.0,7.1,9.3,11.3,68.0,82.0,97.0,5.0,15.0,181.0,3641.0,1018.0
2022,2,5,0.0,6.7,8.8,10.7,87.0,95.0,98.0,4.0,12.0,178.0,6246.0,1020.0
2022,2,6,0.1,5.9,7.5,9.2,80.0,91.0,97.0,5.0,25.0,277.0,935.0,1019.8
2022,2,7,0.1,7.1,8.9,12.2,19.0,63.0,98.0,21.0,68.0,329.0,10166.0,1014.6
2022,2,8,0.0,4.1,7.5,11.1,28.0,50.0,70.0,6.0,24.0,306.0,11256.0,1029.7
2022,2,9,0.0,4.4,7.0,11.2,42.0,62.0,77.0,4.0,12.0,322.0,11138.0,1030.6
2022,2,10,0.0,4.4,7.7,10.5,50.0,74.0,88.0,5.0,15.0,319.0,3465.0,1027.0
2022,2,11,0.2,8.0,9.3,10.4,54.0,83.0,97.0,13.0,69.0,95.0,1476.0,1024.3
2022,2,12,0.0,6.7,8.7,10.3,36.0,45.0,58.0,39.0,77.0,65.0,12340.0,1030.1
2022,2,13,0.0,4.5,6.7,9.3,38.0,56.0,70.0,14.0,43.0,74.0,11861.0,1026.2
2022,2,14,1.9,4.1,6.2,7.5,49.0,70.0,90.0,5.0,13.0,147.0,1178.0,1019.0
2022,2,15,6.0,6.5,9.4,12.2,75.0,88.0,96.0,8.0,37.0,138.0,1387.0,1013.7
2022,2,16,0.1,6.1,7.2,8.4,84.0,91.0,95.0,6.0,20.0,292.0,8304.0,1016.4
2022,2,17,0.0,5.7,7.8,11.1,69.0,85.0,94.0,7.0,23.0,282.0,4884.0,1012.9
2022,2,18,0.4,6.4,9.1,11.9,75.0,89.0,99.0,6.0,26.0,237.0,7140.0,1016.0
2022,2,19,3.6,8.5,9.5,11.3,80.0,96.0,100.0,10.0,53.0,70.0,1173.0,1016.1
2022,2,20,1.2,8.2,9.6,12.7,70.0,84.0,97.0,11.0,44.0,86.0,8735.0,1017.8
2022,2,21,1.1,6.9,9.8,12.4,52.0,76.0,96.0,18.0,66.0,72.0,3581.0,1007.6
2022,2,22,0.0,5.1,9.4,14.6,21.0,55.0,79.0,9.0,46.0,26.0,14317.0,1015.8
2022,2,23,0.0,5.4,8.6,14.6,48.0,63.0,74.0,4.0,12.0,192.0,14064.0,1025.0
2022,2,24,0.0,6.2,9.3,12.2,38.0,68.0,80.0,5.0,17.0,311.0,13173.0,1022.2
2022,2,25,1.3,5.7,8.1,10.6,51.0,77.0,91.0,19.0,85.0,66.0,8928.0,1019.1
2022,2,26,0.0,6.7,8.3,10.6,33.0,47.0,59.0,31.0,78.0,70.0,13310.0,1024.6
2022,2,27,0.0,6.9,8.1,10.0,34.0,45.0,56.0,41.0,108.0,69.0,10890.0,1025.2
2022,2,28,0.0,4.0,7.0,10.3,27.0,41.0,54.0,28.0,80.0,66.0,14619.0,1027.1
2022,3,1,0.0,4.3,6.7,9.5,25.0,42.0,61.0,17.0,51.0,60.0,15963.0,1029.0
2022,3,2,0.0,4.3,6.7,10.3,35.0,46.0,60.0,7.0,29.0,99.0,14496.0,1023.2
2022,3,3,0.0,3.6,6.8,9.8,38.0,53.0,64.0,5.0,36.0,111.0,15965.0,1016.7
2022,3,4,0.0,5.6,8.5,11.4,20.0,33.0,52.0,22.0,68.0,55.0,16279.0,1015.3
2022,3,5,0.1,4.0,6.1,8.0,31.0,43.0,55.0,25.0,73.0,82.0,16065.0,1017.6
2022,3,6,0.0,4.9,6.1,7.4,38.0,48.0,60.0,29.0,62.0,58.0,15491.0,1017.3
2022,3,7,0.0,3.5,6.0,9.0,28.0,42.0,57.0,32.0,71.0,72.0,16352.0,1018.6
2022,3,8,0.0,2.8,6.3,9.5,23.0,42.0,60.0,14.0,41.0,69.0,16417.0,1022.4
2022,3,9,0.0,3.2,6.8,11.2,39.0,54.0,68.0,5.0,14.0,305.0,17129.0,1023.8
2022,3,10,0.0,4.4,7.9,12.1,38.0,58.0,71.0,9.0,53.0,76.0,17447.0,1025.4
2022,3,11,0.0,3.9,6.9,8.4,31.0,39.0,49.0,23.0,67.0,64.0,3413.0,1028.2
2022,3,12,0.0,2.6,5.6,9.2,18.0,41.0,60.0,18.0,74.0,72.0,18811.0,1028.7
2022,3,13,0.0,2.7,6.4,9.3,36.0,52.0,66.0,8.0,24.0,326.0,18491.0,1028.0
2022,3,14,0.0,4.6,7.7,10.1,63.0,69.0,74.0,5.0,16.0,323.0,13566.0,1033.5
2022,3,15,0.0,6.1,8.4,9.8,70.0,74.0,78.0,5.0,16.0,329.0,8952.0,1033.8
2022,3,16,0.0,8.6,9.6,10.5,77.0,83.0,89.0,6.0,18.0,340.0,6176.0,1026.0
2022,3,17,0.0,8.6,13.4,15.3,35.0,43.0,86.0,19.0,46.0,80.0,10804.0,1026.8
2022,3,18,0.0,9.6,11.6,14.2,32.0,45.0,57.0,49.0,99.0,74.0,13915.0,1031.6
2022,3,19,0.0,8.6,10.6,14.3,22.0,41.0,65.0,37.0,89.0,79.0,19169.0,1033.7
2022,3,20,0.0,7.8,10.2,13.1,17.0,32.0,47.0,31.0,58.0,71.0,18795.0,1035.6
2022,3,21,0.0,6.7,10.1,14.3,17.0,32.0,65.0,21.0,55.0,74.0,19866.0,1035.2
2022,3,22,0.0,9.1,11.6,17.6,14.0,35.0,68.0,14.0,53.0,66.0,19719.0,1033.9
2022,3,23,0.0,10.2,13.3,17.9,18.0,35.0,60.0,10.0,39.0,82.0,19764.0,1029.3
2022,3,24,0.0,8.6,11.4,13.7,36.0,61.0,75.0,4.0,12.0,352.0,20791.0,1025.9
2022,3,25,0.0,8.9,12.3,17.6,23.0,49.0,72.0,4.0,12.0,265.0,19638.0,1024.7
2022,3,26,0.0,11.3,15.1,19.4,22.0,38.0,68.0,8.0,38.0,107.0,19139.0,1026.0
2022,3,27,0.1,8.1,11.3,14.2,46.0,71.0,98.0,4.0,15.0,330.0,19465.0,1027.7
2022,3,28,0.0,7.1,9.1,11.0,79.0,95.0,99.0,9.0,24.0,332.0,15838.0,1024.3
2022,3,29,0.0,8.1,11.2,13.1,75.0,79.0,85.0,9.0,31.0,330.0,18398.0,1014.7
