anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2023,6,1,0.0,18.5,21.1,25.3,47,63,73,7,28,83,26978,1014.1
2023,6,2,0.0,18.1,20.9,24.4,47,71,82,8,45,71,20200,1011.6
2023,6,3,0.0,19.9,22.2,25.0,48,57,65,26,59,73,26717,1013.8
2023,6,4,0.0,19.6,21.7,25.0,48,65,76,11,33,151,21459,1015.5
2023,6,5,44.0,17.3,19.0,21.1,73,85,90,7,34,118,6061,1015.0
2023,6,6,5.6,18.0,19.7,22.8,66,84,90,6,20,332,13147,1014.8
2023,6,7,0.0,18.2,20.5,22.6,76,82,86,6,18,275,30305,1015.0
2023,6,8,0.0,20.3,22.2,25.4,42,69,81,8,39,149,30185,1012.3
2023,6,9,0.0,19.8,22.1,23.8,71,76,82,7,19,279,29309,1011.1
2023,6,10,0.0,20.7,22.1,23.7,64,74,80,8,42,140,24268,1010.3
2023,6,11,0.0,21.5,23.9,26.7,46,57,67,17,52,62,16297,1010.7
2023,6,12,0.1,21.0,23.4,27.3,37,57,75,17,53,71,29732,1010.9
2023,6,13,0.1,20.2,21.8,23.8,49,58,69,13,46,90,20984,1009.7
2023,6,14,0.2,20.1,22.7,27.0,41,58,78,13,36,275,24130,1010.0
2023,6,15,0.0,20.3,23.4,27.3,34,49,64,25,58,72,29906,1011.9
2023,6,16,5.2,18.6,21.4,24.0,46,59,73,10,55,347,25581,1012.8
2023,6,17,0.0,18.1,21.7,24.6,44,60,71,5,13,104,30616,1013.7
2023,6,18,0.0,19.4,22.7,25.2,46,57,73,6,13,298,29076,1015.1
2023,6,19,0.0,21.0,23.1,26.3,42,69,86,5,16,275,28339,1015.1
2023,6,20,0.0,22.2,24.1,25.5,65,76,80,7,16,304,27307,1016.0
2023,6,21,0.0,23.2,25.3,27.2,51,70,76,8,19,330,27859,1016.4
2023,6,22,0.0,24.0,26.8,29.6,61,70,76,5,12,262,26256,1016.0
2023,6,23,0.0,24.3,26.7,30.1,41,62,80,17,81,70,25605,1012.2
2023,6,24,0.0,23.5,25.5,28.1,39,47,55,29,75,75,28285,1016.1
2023,6,25,0.0,22.0,25.6,29.5,31,48,64,14,42,40,30694,1015.1
2023,6,26,0.0,24.0,25.4,27.5,45,60,73,8,40,94,29718,1013.9
2023,6,27,0.2,21.2,24.5,28.1,57,66,74,18,69,76,18697,1011.8
2023,6,28,0.0,21.0,23.2,26.8,33,50,64,26,81,66,22810,1013.5
2023,6,29,0.0,20.0,23.0,24.8,40,54,65,11,27,115,30624,1015.2
2023,6,30,0.0,20.7,23.0,24.5,50,62,70,8,25,144,24309,1010.9
2023,7,1,0.1,21.0,22.2,23.2,63,73,79,9,27,144,16378,1007.3
2023,7,2,0.0,20.6,23.8,27.9,40,70,80,7,18,251,30483,1009.0
2023,7,3,14.9,19.6,24.8,27.0,60,70,77,10,58,80,17862,1011.2
2023,7,4,1.8,19.8,24.2,28.1,47,67,78,14,44,85,30389,1012.8
2023,7,5,0.3,22.3,24.5,26.4,54,64,74,12,52,310,24044,1012.4
2023,7,6,11.2,19.3,23.9,26.8,48,62,80,18,61,69,14378,1014.7
2023,7,7,0.0,21.6,25.8,29.6,30,48,66,17,51,66,30167,1018.9
2023,7,8,0.0,22.8,24.8,26.3,43,61,76,6,20,116,29880,1019.6
2023,7,9,0.0,22.6,25.5,28.0,51,64,72,4,13,289,29297,1019.3
2023,7,10,0.0,24.2,26.4,28.7,56,71,77,5,15,297,29236,1018.2
2023,7,11,0.0,24.9,27.0,28.7,52,66,75,6,16,319,27332,1015.9
2023,7,12,8.8,21.6,26.4,31.2,42,66,77,13,90,347,21979,1013.9
2023,7,13,0.0,23.5,26.3,28.2,54,68,83,17,81,333,16321,1012.6
2023,7,14,0.0,24.2,26.7,30.2,36,54,71,15,56,95,29011,1014.8
2023,7,15,0.0,24.1,26.2,27.9,58,69,75,6,17,305,29340,1014.5
2023,7,16,0.0,25.1,27.2,29.2,68,76,84,6,17,292,28863,1014.2
2023,7,17,0.0,26.4,28.2,30.0,59,73,84,6,21,337,28666,1014.7
2023,7,18,0.0,27.6,29.9,33.6,36,58,75,13,67,358,27163,1014.5
2023,7,19,16.5,20.1,28.0,31.4,46,66,92,11,98,295,22956,1009.5
