mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;1.8;9.1;11.3;15.0;66;78;90;12;50;163;3708;1012.6
1;2;0.9;8.2;9.2;10.5;74;83;90;8;27;212;2760;1014.3
1;3;0.0;9.0;9.8;10.6;81;89;93;5;23;295;1090;1008.7
1;4;0.0;7.7;8.9;9.8;83;87;91;7;24;274;1995;1009.5
1;5;2.7;8.1;12.8;14.7;73;79;85;9;26;147;3309;1008.4
1;6;22.6;10.3;12.8;15.0;67;82;91;23;89;73;699;999.0
1;7;0.9;8.1;9.7;10.6;61;67;76;41;92;62;1179;999.6
1;8;0.2;4.3;5.6;8.2;55;60;67;29;81;69;5077;1012.2
1;9;0.0;1.7;3.6;5.0;37;51;66;36;98;52;7155;1023.2
1;10;0.0;1.4;3.1;5.4;43;55;66;40;80;86;6056;1027.6
1;11;0.0;2.4;5.9;10.4;21;35;52;17;52;86;7681;1023.9
1;12;0.0;4.0;6.4;8.2;30;46;61;19;59;73;7581;1024.0
1;13;0.0;2.8;5.6;9.4;50;62;74;7;34;89;7333;1021.9
1;14;1.2;5.8;7.3;8.6;71;78;86;8;22;196;1329;1012.7
1;15;0.1;6.4;7.4;8.1;66;81;90;6;32;96;1900;1002.2
1;16;0.1;5.7;8.2;11.4;34;54;72;17;57;64;8130;1009.4
1;17;18.3;6.6;7.8;9.0;72;86;95;5;15;20;564;1004.6
1;18;11.1;8.0;9.7;14.4;81;92;96;7;40;176;1317;997.8
1;19;6.8;3.5;6.5;10.1;49;75;95;44;105;62;1067;1009.8
1;20;0.1;2.3;4.3;6.3;32;47;62;30;96;44;9123;1029.2
1;21;0.0;4.3;7.1;11.0;20;33;53;11;41;53;8947;1032.9
1;22;0.0;3.0;6.2;8.6;39;51;63;6;24;134;7576;1030.3
1;23;0.0;6.1;8.1;10.9;60;72;84;6;23;266;8466;1029.3
1;24;0.0;6.0;8.4;10.6;62;77;86;6;18;191;5556;1028.9
1;25;0.0;7.0;8.6;11.5;81;86;88;4;17;150;6415;1025.4
1;26;0.0;6.0;8.3;10.5;80;84;89;4;13;283;8227;1026.3
1;27;0.0;5.8;7.9;10.0;80;88;92;5;16;262;8908;1030.4
1;28;0.1;3.6;6.4;10.0;76;87;97;3;14;295;5767;1037.0
1;29;0.0;3.9;6.3;8.8;69;77;85;4;12;319;9655;1036.6
1;30;0.0;3.3;5.6;8.7;59;80;86;3;8;321;9860;1036.0
1;31;0.0;2.7;5.1;8.4;61;74;80;3;10;66;8799;1033.7
2;1;0.0;2.9;6.1;9.0;54;72;78;4;17;346;5399;1028.0
2;2;0.0;5.1;7.9;12.0;51;76;85;4;14;232;9562;1029.1
2;3;0.0;5.7;7.2;8.6;74;78;84;3;9;193;4496;1026.4
2;4;0.0;6.2;8.6;10.7;78;83;86;4;14;328;-;1024.5
2;5;0.0;9.0;10.0;11.0;78;87;92;3;13;97;3727;1024.1
2;6;0.0;9.2;10.2;12.0;81;88;93;6;27;220;1540;1022.1
2;7;0.0;9.5;10.3;11.0;85;90;94;4;12;144;864;1014.4
2;8;0.0;9.7;10.3;11.2;90;93;95;5;14;319;3074;1009.9
2;9;2.3;10.5;12.9;14.3;71;82;93;13;41;196;1461;1003.7
2;10;11.1;11.7;13.5;15.7;72;81;93;10;32;139;1430;996.0
