anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2023,6,1,0.0,18.5,21.1,25.3,47.0,63.0,73.0,7.0,28.0,83.0,26978.0,1014.1
2023,6,2,0.0,18.1,20.9,24.4,47.0,71.0,82.0,8.0,45.0,71.0,20200.0,1011.6
2023,6,3,0.0,19.9,22.2,25.0,48.0,57.0,65.0,26.0,59.0,73.0,26717.0,1013.8
2023,6,4,0.0,19.6,21.7,25.0,48.0,65.0,76.0,11.0,33.0,151.0,21459.0,1015.5
2023,6,5,44.0,17.3,19.0,21.1,73.0,85.0,90.0,7.0,34.0,118.0,6061.0,1015.0
2023,6,6,5.6,18.0,19.7,22.8,66.0,84.0,90.0,6.0,20.0,332.0,13147.0,1014.8
2023,6,7,0.0,18.2,20.5,22.6,76.0,82.0,86.0,6.0,18.0,275.0,30305.0,1015.0
2023,6,8,0.0,20.3,22.2,25.4,42.0,69.0,81.0,8.0,39.0,149.0,30185.0,1012.3
2023,6,9,0.0,19.8,22.1,23.8,71.0,76.0,82.0,7.0,19.0,279.0,29309.0,1011.1
2023,6,10,0.0,20.7,22.1,23.7,64.0,74.0,80.0,8.0,42.0,140.0,24268.0,1010.3
2023,6,11,0.0,21.5,23.9,26.7,46.0,57.0,67.0,17.0,52.0,62.0,16297.0,1010.7
2023,6,12,0.1,21.0,23.4,27.3,37.0,57.0,75.0,17.0,53.0,71.0,29732.0,1010.9
2023,6,13,0.1,20.2,21.8,23.8,49.0,58.0,69.0,13.0,46.0,90.0,20984.0,1009.7
2023,6,14,0.2,20.1,22.7,27.0,41.0,58.0,78.0,13.0,36.0,275.0,24130.0,1010.0
2023,6,15,0.0,20.3,23.4,27.3,34.0,49.0,64.0,25.0,58.0,72.0,29906.0,1011.9
2023,6,16,5.2,18.6,21.4,24.0,46.0,59.0,73.0,10.0,55.0,347.0,25581.0,1012.8
2023,6,17,0.0,18.1,21.7,24.6,44.0,60.0,71.0,5.0,13.0,104.0,30616.0,1013.7
2023,6,18,0.0,19.4,22.7,25.2,46.0,57.0,73.0,6.0,13.0,298.0,29076.0,1015.1
2023,6,19,0.0,21.0,23.1,26.3,42.0,69.0,86.0,5.0,16.0,275.0,28339.0,1015.1
2023,6,20,0.0,22.2,24.1,25.5,65.0,76.0,80.0,7.0,16.0,304.0,27307.0,1016.0
2023,6,21,0.0,23.2,25.3,27.2,51.0,70.0,76.0,8.0,19.0,330.0,27859.0,1016.4
2023,6,22,0.0,24.0,26.8,29.6,61.0,70.0,76.0,5.0,12.0,262.0,26256.0,1016.0
2023,6,23,0.0,24.3,26.7,30.1,41.0,62.0,80.0,17.0,81.0,70.0,25605.0,1012.2
2023,6,24,0.0,23.5,25.5,28.1,39.0,47.0,55.0,29.0,75.0,75.0,28285.0,1016.1
2023,6,25,0.0,22.0,25.6,29.5,31.0,48.0,64.0,14.0,42.0,40.0,30694.0,1015.1
2023,6,26,0.0,24.0,25.4,27.5,45.0,60.0,73.0,8.0,40.0,94.0,29718.0,1013.9
2023,6,27,0.2,21.2,24.5,28.1,57.0,66.0,74.0,18.0,69.0,76.0,18697.0,1011.8
2023,6,28,0.0,21.0,23.2,26.8,33.0,50.0,64.0,26.0,81.0,66.0,22810.0,1013.5
2023,6,29,0.0,20.0,23.0,24.8,40.0,54.0,65.0,11.0,27.0,115.0,30624.0,1015.2
2023,6,30,0.0,20.7,23.0,24.5,50.0,62.0,70.0,8.0,25.0,144.0,24309.0,1010.9
2023,7,1,0.1,21.0,22.2,23.2,63.0,73.0,79.0,9.0,27.0,144.0,16378.0,1007.3
2023,7,2,0.0,20.6,23.8,27.9,40.0,70.0,80.0,7.0,18.0,251.0,30483.0,1009.0
2023,7,3,14.9,19.6,24.8,27.0,60.0,70.0,77.0,10.0,58.0,80.0,17862.0,1011.2
2023,7,4,1.8,19.8,24.2,28.1,47.0,67.0,78.0,14.0,44.0,85.0,30389.0,1012.8
2023,7,5,0.3,22.3,24.5,26.4,54.0,64.0,74.0,12.0,52.0,310.0,24044.0,1012.4
2023,7,6,11.2,19.3,23.9,26.8,48.0,62.0,80.0,18.0,61.0,69.0,14378.0,1014.7
2023,7,7,0.0,21.6,25.8,29.6,30.0,48.0,66.0,17.0,51.0,66.0,30167.0,1018.9
2023,7,8,0.0,22.8,24.8,26.3,43.0,61.0,76.0,6.0,20.0,116.0,29880.0,1019.6
2023,7,9,0.0,22.6,25.5,28.0,51.0,64.0,72.0,4.0,13.0,289.0,29297.0,1019.3
2023,7,10,0.0,24.2,26.4,28.7,56.0,71.0,77.0,5.0,15.0,297.0,29236.0,1018.2
2023,7,11,0.0,24.9,27.0,28.7,52.0,66.0,75.0,6.0,16.0,319.0,27332.0,1015.9
2023,7,12,8.8,21.6,26.4,31.2,42.0,66.0,77.0,13.0,90.0,347.0,21979.0,1013.9
2023,7,13,0.0,23.5,26.3,28.2,54.0,68.0,83.0,17.0,81.0,333.0,16321.0,1012.6
2023,7,14,0.0,24.2,26.7,30.2,36.0,54.0,71.0,15.0,56.0,95.0,29011.0,1014.8
