mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
12;31;24.00;0.0;12.2;96;3;274;6;104;-;-;-
1;1;1.00;0.0;12.2;96;1;170;3;254;-;-;-
1;1;2.00;0.0;12.2;96;2;149;6;119;-;-;-
1;1;3.00;0.0;12.4;93;2;147;5;135;-;-;-
1;1;4.00;0.0;12.0;97;1;0;4;6;-;-;-
1;1;5.00;0.0;12.1;98;2;103;6;331;-;-;-
1;1;6.00;0.0;12.3;94;1;225;5;78;-;-;-
1;1;7.00;0.0;12.0;95;3;243;7;238;-;-;-
1;1;8.00;0.0;11.5;97;6;273;12;268;-;-;-
1;1;9.00;0.0;11.6;98;3;302;8;276;-;-;-
1;1;10.00;0.0;11.5;96;2;216;7;228;-;-;-
1;1;11.00;0.0;11.8;96;4;102;9;110;-;-;-
1;1;12.00;0.0;12.5;93;5;95;10;86;-;-;-
1;1;13.00;0.0;12.9;91;5;71;9;59;-;-;-
1;1;14.00;0.0;13.1;89;4;256;9;258;-;-;-
1;1;15.00;0.0;12.1;96;5;335;12;257;-;-;-
1;1;16.00;0.0;12.3;92;3;311;9;316;-;-;-
1;1;17.00;0.0;12.1;90;3;311;6;304;-;-;-
1;1;18.00;0.0;12.1;89;3;199;5;288;-;-;-
1;1;19.00;0.0;12.0;90;3;173;5;227;-;-;-
1;1;20.00;0.0;11.9;93;3;146;7;156;-;-;-
1;1;21.00;0.0;12.0;92;1;174;4;162;-;-;-
1;1;22.00;0.0;12.1;91;2;189;5;133;-;-;-
1;1;23.00;0.0;12.1;91;1;163;4;172;-;-;-
1;1;24.00;0.0;12.1;91;2;186;4;253;-;-;-
1;2;1.00;0.0;12.0;91;2;194;4;170;-;-;-
1;2;2.00;0.0;11.7;96;2;273;4;274;-;-;-
1;2;3.00;0.0;11.7;96;3;259;6;240;-;-;-
1;2;4.00;0.0;11.7;95;2;318;4;266;-;-;-
1;2;5.00;0.0;11.7;95;2;309;5;280;-;-;-
1;2;6.00;0.0;11.2;98;4;313;9;332;-;-;-
1;2;7.00;0.0;10.6;100;5;321;12;278;-;-;-
1;2;8.00;0.2;10.7;100;3;335;7;335;-;-;-
1;2;9.00;0.0;10.6;100;4;269;9;311;-;-;-
1;2;10.00;0.2;10.6;100;4;305;9;269;-;-;-
1;2;11.00;0.2;10.5;100;4;352;8;332;-;-;-
1;2;12.00;0.0;10.6;100;3;344;7;352;-;-;-
1;2;13.00;0.2;10.5;100;3;342;5;307;-;-;-
1;2;14.00;0.2;10.6;100;3;10;6;350;-;-;-
1;2;15.00;0.0;10.7;100;2;332;5;317;-;-;-
1;2;16.00;0.0;10.5;100;2;8;5;346;-;-;-
1;2;17.00;0.0;10.5;100;3;351;5;18;-;-;-
1;2;18.00;0.0;10.6;100;3;56;6;29;-;-;-
1;2;19.00;0.0;10.7;100;2;306;4;46;-;-;-
1;2;20.00;0.0;10.8;100;2;0;4;344;-;-;-
1;2;21.00;0.0;10.9;100;2;75;5;88;-;-;-
1;2;22.00;0.2;11.2;100;3;8;5;87;-;-;-
1;2;23.00;0.0;11.2;100;2;289;4;284;-;-;-
1;2;24.00;0.0;11.2;100;2;49;4;4;-;-;-
1;3;1.00;0.0;11.5;100;3;99;8;156;-;-;-
1;3;2.00;0.0;11.5;100;2;9;4;331;-;-;-
1;3;3.00;0.0;11.6;100;3;288;6;84;-;-;-
1;3;4.00;0.0;11.6;100;2;284;5;286;-;-;-
1;3;5.00;0.0;11.7;99;3;18;5;307;-;-;-
1;3;6.00;0.0;11.8;99;2;163;5;159;-;-;-
1;3;7.00;0.0;11.8;99;3;178;6;160;-;-;-
1;3;8.00;0.0;11.9;99;2;278;5;158;-;-;-
1;3;9.00;0.0;12.0;98;2;281;5;299;-;-;-
