Epoch 1/50, Train Loss: 2.497067938931319, Test Loss: 1.0802394401394657
Epoch 2/50, Train Loss: 1.516545442589246, Test Loss: 1.0940841931151226
Epoch 3/50, Train Loss: 1.342447345071158, Test Loss: 1.0836574608973406
Epoch 4/50, Train Loss: 1.2791690872875063, Test Loss: 1.0806481159182255
Epoch 5/50, Train Loss: 1.235336626806409, Test Loss: 1.0823004122419086
Epoch 6/50, Train Loss: 1.202063142910867, Test Loss: 1.0803600173216852
Epoch 7/50, Train Loss: 1.1837962258554358, Test Loss: 1.0906812152212584
Epoch 8/50, Train Loss: 1.1391485993889607, Test Loss: 1.0985078239019985
Epoch 9/50, Train Loss: 1.1104391121986934, Test Loss: 1.1012024714743205
Epoch 10/50, Train Loss: 1.10723798899362, Test Loss: 1.1026693508013665
Epoch 11/50, Train Loss: 1.0918564694816366, Test Loss: 1.1124611550577403
Epoch 12/50, Train Loss: 1.0865782839499458, Test Loss: 1.1034952930785948
Epoch 13/50, Train Loss: 1.0738897911613952, Test Loss: 1.1011801903077867
Epoch 14/50, Train Loss: 1.0586333750271322, Test Loss: 1.1099065113211461
Epoch 15/50, Train Loss: 1.0604244354236083, Test Loss: 1.1097860710835543
Epoch 16/50, Train Loss: 1.0547090809512936, Test Loss: 1.1126186102698117
Epoch 17/50, Train Loss: 1.0559819958022767, Test Loss: 1.0962077976039022
Epoch 18/50, Train Loss: 1.0491277236610395, Test Loss: 1.0949230428638035
Epoch 19/50, Train Loss: 1.047372115019752, Test Loss: 1.0948831917117594
Epoch 20/50, Train Loss: 1.032904976348737, Test Loss: 1.0780688466926989
Epoch 21/50, Train Loss: 1.0186161235560096, Test Loss: 1.0746992412540222
Epoch 22/50, Train Loss: 1.0098323211207236, Test Loss: 1.072518675263621
Epoch 23/50, Train Loss: 1.011658618647504, Test Loss: 1.0725485431576134
Epoch 24/50, Train Loss: 1.0113061600891102, Test Loss: 1.0721073916723214
Epoch 25/50, Train Loss: 1.0094242543596907, Test Loss: 1.0722859629183261
Epoch 26/50, Train Loss: 1.0146388180899426, Test Loss: 1.0742407572320907
Epoch 27/50, Train Loss: 1.0039164377530572, Test Loss: 1.0741140348928686
Epoch 28/50, Train Loss: 1.0090196560745066, Test Loss: 1.0735693995434543
Epoch 29/50, Train Loss: 1.0053181132441655, Test Loss: 1.075670832061549
Epoch 30/50, Train Loss: 1.0001949861023747, Test Loss: 1.0798420552432377
Epoch 31/50, Train Loss: 0.9964753056474843, Test Loss: 1.0793055433084526
Epoch 32/50, Train Loss: 0.9984919126647199, Test Loss: 1.0833119409201715
Epoch 33/50, Train Loss: 0.9924955223862669, Test Loss: 1.0839054264054682
Epoch 34/50, Train Loss: 0.9908365151528268, Test Loss: 1.0841980760328864
Epoch 35/50, Train Loss: 0.9902276573539356, Test Loss: 1.084232857729627
Epoch 36/50, Train Loss: 0.9914687028284263, Test Loss: 1.084140534852754
Epoch 37/50, Train Loss: 0.9922477942618911, Test Loss: 1.0838471722059981
Epoch 38/50, Train Loss: 0.9915452611931916, Test Loss: 1.0840133579423357
Epoch 39/50, Train Loss: 0.9906613804935492, Test Loss: 1.0842682859786834
Epoch 40/50, Train Loss: 0.9890271219420613, Test Loss: 1.0833967573003305
Epoch 41/50, Train Loss: 0.9881640977261046, Test Loss: 1.0837187603710365
Epoch 42/50, Train Loss: 0.9887792918862145, Test Loss: 1.0837151560086855
Epoch 43/50, Train Loss: 0.9870557820863005, Test Loss: 1.0825786373461597
Epoch 44/50, Train Loss: 0.9881538788826411, Test Loss: 1.0813062131009676
Epoch 45/50, Train Loss: 0.9885563102465369, Test Loss: 1.0827188255099922
Epoch 46/50, Train Loss: 0.990751198173755, Test Loss: 1.0822094480712334
Epoch 47/50, Train Loss: 0.9877381821075795, Test Loss: 1.0819063532858548
Epoch 48/50, Train Loss: 0.9871321486839616, Test Loss: 1.0797289974166473
Epoch 49/50, Train Loss: 0.9870530706589546, Test Loss: 1.0790148782160893
Epoch 50/50, Train Loss: 0.9854201798063729, Test Loss: 1.078952486101403
